dataset_size,numbers_processed,primes_found,read_time_s,filter_time_s,commit_time_s,total_time_s,throughput_nums_per_sec
1000,1000,78,0.065,0.001,0.079,0.171,5864.89
10000,10000,814,0.087,0.004,0.079,0.200,49901.25
100000,100000,8104,0.101,0.034,0.079,0.242,413475.84
1000,1000,78,0.055,0.000,0.137,0.222,4495.12
10000,10000,814,0.071,0.004,0.123,0.226,44164.89
100000,100000,8104,0.099,0.042,0.169,0.337,296540.33
1000,1000,78,0.052,0.001,0.149,0.233,4299.30
10000,10000,814,0.102,0.009,0.092,0.238,41966.31
100000,100000,8104,0.108,0.037,0.151,0.324,308701.28
1000,1000,78,0.049,0.001,0.160,0.239,4185.03
10000,10000,814,0.066,0.004,0.132,0.230,43525.65
100000,100000,8104,0.097,0.039,0.194,0.355,281816.03
1000,1000,78,0.066,0.001,0.122,0.236,4241.78
10000,10000,814,0.083,0.004,0.100,0.220,45443.72
100000,100000,8104,0.109,0.040,0.144,0.328,304527.95
1000,1000,78,0.099,0.000,0.093,0.238,4193.04
10000,10000,814,0.070,0.003,0.107,0.218,45878.09
100000,100000,8104,0.094,0.038,0.165,0.331,302409.92
