num_clients,dataset_size_per_client,overlap_fraction,total_time_s,primes_sent_total,primes_in_final_file,duplicate_lines_found,server_side_dedup_pct,zero_duplicates_in_output
1,5000,0.50,0.183,486,478,0,1.65,true
2,5000,0.50,0.154,486,478,0,1.65,true
4,5000,0.50,0.244,973,944,0,2.98,true
8,5000,0.50,0.337,934,1331,0,-42.51,true
1,5000,0.50,0.238,486,1331,0,-173.87,true
2,5000,0.50,0.206,465,1331,0,-186.24,true
4,5000,0.50,0.228,498,1331,0,-167.27,true
8,5000,0.50,0.429,486,1332,0,-174.07,true
1,5000,0.50,0.312,486,1332,0,-174.07,true
2,5000,0.50,0.334,951,1332,0,-40.06,true
4,5000,0.50,0.331,465,1332,0,-186.45,true
8,5000,0.50,0.339,943,1531,0,-62.35,true
1,5000,0.50,0.219,486,1531,0,-215.02,true
2,5000,0.50,0.347,465,1531,0,-229.25,true
4,5000,0.50,0.318,498,1531,0,-207.43,true
8,5000,0.50,0.412,942,1703,0,-80.79,true
1,5000,0.50,0.274,486,478,0,1.65,true
2,5000,0.50,0.430,951,690,0,27.44,true
4,5000,0.50,0.257,465,690,0,-48.39,true
8,5000,0.50,0.465,969,1110,0,-14.55,true
1,5000,0.50,0.339,486,478,0,1.65,true
2,5000,0.50,0.326,465,690,0,-48.39,true
4,5000,0.50,0.335,487,910,0,-86.86,true
8,5000,0.50,0.388,946,1313,0,-38.79,true
